Abyssal Sire,13273,Abyssal Sire,Unsired
Doom of Mokhaiotl,31109,Doom of Mokhaiotl,Mokhaiotl cloth
Fortis Colosseum,28919,Fortis Colosseum,Tonalztics of ralos (uncharged)
Fortis Colosseum,28933,Fortis Colosseum,Sunfire fanatic helm
Fortis Colosseum,28936,Fortis Colosseum,Sunfire fanatic cuirass
Fortis Colosseum,28939,Fortis Colosseum,Sunfire fanatic chausses
The Hueycoatl,30070,Hueycoatl,Dragon hunter wand
Vardorvis,28319,Vardorvis,Executioner's axe head
Vardorvis,26241,Vardorvis,Virtus mask (Levi / Vard)
Vardorvis,26243,Vardorvis,Virtus robe top (Levi / Vard)
Vardorvis,26245,Vardorvis,Virtus robe bottom (Levi / Vard)
Artio,27681,Artio,Voidwaker hilt
Calvar'ion,27684,Calvar'ion,Voidwaker blade
Spindel,27687,Spindel,Voidwaker gem
Callisto,27681,Callisto,Voidwaker hilt
Vet'ion,27684,Vet'ion,Voidwaker blade
Venenatis,27687,Venenatis,Voidwaker gem
COX,9999,COX,COX Purple
TOB,9999,TOB,TOB Purple
Monk,526,Monk,Bones
